Branch,Segment_Index,Distance_km,Area_km2,Runoff_C,Is_Polder_Zone,Q_lat_base_m3_s,NH4_conc_base_mg_L,NO3_conc_base_mg_L,PO4_conc_base_mg_L,TOC_conc_base_mg_L,DIC_conc_base_mg_L,SPM_conc_base_mg_L
Co_Chien,33,66,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
Co_Chien,33,67,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
Co_Chien,34,68,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
Co_Chien,34,69,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
Co_Chien,35,70,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
Co_Chien,35,71,2.0,0.733,True,0.00293,5.24,2.53,1.3,78.75,36.85,139.5
Co_Chien,36,72,2.0,0.733,True,0.00293,5.24,2.53,1.3,78.75,36.85,139.5
Co_Chien,36,73,2.0,0.733,True,0.00293,5.24,2.53,1.3,78.75,36.85,139.5
Co_Chien,37,74,2.0,0.733,True,0.00293,5.24,2.53,1.3,78.75,36.85,139.5
Co_Chien,37,75,2.0,0.733,True,0.00293,5.24,2.53,1.3,78.75,36.85,139.5
Co_Chien,38,76,2.0,0.733,True,0.00293,5.24,2.53,1.3,78.75,36.85,139.5
Co_Chien,38,77,2.0,0.733,True,0.00293,5.24,2.53,1.3,78.75,36.85,139.5
Co_Chien,39,78,2.0,0.733,True,0.00293,5.24,2.53,1.3,78.75,36.85,139.5
Co_Chien,39,79,2.0,0.733,True,0.00293,5.24,2.53,1.3,78.75,36.85,139.5
Co_Chien,40,80,2.0,0.733,True,0.00293,5.24,2.53,1.3,78.75,36.85,139.5
Co_Chien,40,81,2.0,0.733,True,0.00293,5.24,2.53,1.3,78.75,36.85,139.5
Co_Chien,41,82,2.0,0.733,True,0.00293,5.24,2.53,1.3,78.75,36.85,139.5
Co_Chien,41,83,2.0,0.733,True,0.00293,5.24,2.53,1.3,78.75,36.85,139.5
Co_Chien,42,84,2.0,0.733,True,0.00293,5.24,2.53,1.3,78.75,36.85,139.5
Co_Chien,42,85,2.0,0.733,True,0.00293,5.24,2.53,1.3,78.75,36.85,139.5
My_Tho,0,0,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
My_Tho,0,1,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
My_Tho,1,2,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
My_Tho,1,3,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
